,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
232,HPE,19971.0,16049.0,17098.0,21239,23466,31448,33535,36776,37988,,
233,HLT,-821.0,-1490.0,-482.0,551,1688,5899,5985,4752,4363,2301,1868
234,HOLX.O,4876.2,4218.6,2705.2,2115.7,2428.8,2784.7,2142.7,2079.2,2063.0,1941.5,2961.031
235,HD,-1696.0,3299.0,-3116.0,-1878,1454,4333,6316,9322,12522,17777,17898
236,HON.O,18569.0,17549.0,18494.0,18180,16502,19369,18283,17657,17467,12975,10806
237,HRL,6972.882,6425.548,5921.458,5600.811,4935.907,4448.006,3998.198,3605.678,3311.04,2819.455,2656.582
238,HST.O,6441.0,6321.0,7319.0,7494,6973,6994,7064,7336,7228,6825,6677
239,HWM,3508.0,3577.0,4591.0,5573,4910,5115,12046,12306,10593,13199,13844
240,HPQ,-1650.0,-2228.0,-1193.0,-639,-3408,-3889,27768,26731,27269,22436,38625
241,HUM,16080.0,13728.0,12037.0,10161,9842,10685,10346,9646,9316,8847,8063
242,HBAN.O,19297.0,12993.0,11795.0,11102.0,10814.0,10308.146,6594.606,6328.17,6090.153,5790.211,5418.1
